START_ID,END_ID,editorName,reviewPolicy
458166b3-de17-4bf3-bbbb-e53782de2f0f,1679177,Mark Scott,5
458166b3-de17-4bf3-bbbb-e53782de2f0f,1399485590,Mark Scott,5
458166b3-de17-4bf3-bbbb-e53782de2f0f,143863611,Mark Scott,5
458166b3-de17-4bf3-bbbb-e53782de2f0f,2297068,Mark Scott,5
458166b3-de17-4bf3-bbbb-e53782de2f0f,3317624,Mark Scott,5
759663ae-c1b4-41ef-9231-384ab473d4b4,48692032,Jesse Holmes,4
759663ae-c1b4-41ef-9231-384ab473d4b4,2109648685,Jesse Holmes,4
759663ae-c1b4-41ef-9231-384ab473d4b4,1405625449,Jesse Holmes,4
759663ae-c1b4-41ef-9231-384ab473d4b4,1689049,Jesse Holmes,4
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,1681016,Yolanda Delacruz,3
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,145061660,Yolanda Delacruz,3
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,-2147483648,Yolanda Delacruz,3
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,2116031156,Katie Levy,5
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,38913020,Katie Levy,5
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,2078394,Katie Levy,5
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,143724980,Katie Levy,5
0a96e67f-c1f1-491d-ab41-4c2c50b523a2,49674623,Katie Levy,5
c6840156-ee10-4d78-8832-7f8909811576,1682407,Brady Wade,5
c6840156-ee10-4d78-8832-7f8909811576,100653750,Brady Wade,5
c6840156-ee10-4d78-8832-7f8909811576,2146275249,Brady Wade,5
c6840156-ee10-4d78-8832-7f8909811576,2671645,Brady Wade,5
c6840156-ee10-4d78-8832-7f8909811576,2530831,Brady Wade,5
41dbb273-8d18-4a45-8154-852882a37b34,34806045,Alexander Smith,4
41dbb273-8d18-4a45-8154-852882a37b34,50698089,Alexander Smith,4
41dbb273-8d18-4a45-8154-852882a37b34,50673014,Alexander Smith,4
41dbb273-8d18-4a45-8154-852882a37b34,2109634458,Alexander Smith,4
099483df-e8f2-4bee-805d-8a69f07b6cbf,8606450,William Brown,3
099483df-e8f2-4bee-805d-8a69f07b6cbf,35153466,William Brown,3
099483df-e8f2-4bee-805d-8a69f07b6cbf,33270118,William Brown,3
d60da343-ab92-4310-b3d7-2c0860287a9d,2108101280,Sandra Williams,3
d60da343-ab92-4310-b3d7-2c0860287a9d,38816202,Sandra Williams,3
d60da343-ab92-4310-b3d7-2c0860287a9d,31909725,Sandra Williams,3
d60da343-ab92-4310-b3d7-2c0860287a9d,1711104,Michael Hopkins,3
d60da343-ab92-4310-b3d7-2c0860287a9d,80091479,Michael Hopkins,3
d60da343-ab92-4310-b3d7-2c0860287a9d,21234404,Michael Hopkins,3
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,2795670,Sharon Rush,5
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,-2147483648,Sharon Rush,5
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,1963213,Sharon Rush,5
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,1398712006,Sharon Rush,5
b3a217d4-f456-4394-9e5b-b39ab19d1b3e,2523983,Sharon Rush,5
f458795b-af97-4b7c-ba4e-d57bbb57f90a,46421469,Marco Campbell,3
f458795b-af97-4b7c-ba4e-d57bbb57f90a,39978391,Marco Campbell,3
f458795b-af97-4b7c-ba4e-d57bbb57f90a,-2147483648,Marco Campbell,3
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,2066277988,Justin Parker,4
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,39135119,Justin Parker,4
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,1713701,Justin Parker,4
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,4764355,Justin Parker,4
c3875580-2cce-4a95-a094-fff60bb381b9,49674623,Belinda Garza,4
c3875580-2cce-4a95-a094-fff60bb381b9,1736121,Belinda Garza,4
c3875580-2cce-4a95-a094-fff60bb381b9,2571049,Belinda Garza,4
c3875580-2cce-4a95-a094-fff60bb381b9,3243632,Belinda Garza,4
3c27e831-750f-45bc-9914-2148a5259eba,144643812,Karen Spencer,4
3c27e831-750f-45bc-9914-2148a5259eba,3968465,Karen Spencer,4
3c27e831-750f-45bc-9914-2148a5259eba,49933077,Karen Spencer,4
3c27e831-750f-45bc-9914-2148a5259eba,1562111284,Karen Spencer,4
4d899b46-b5c8-436e-8ce3-084673ea8905,2780213,Robin Jackson,4
4d899b46-b5c8-436e-8ce3-084673ea8905,144231976,Robin Jackson,4
4d899b46-b5c8-436e-8ce3-084673ea8905,50477132,Robin Jackson,4
4d899b46-b5c8-436e-8ce3-084673ea8905,1874006,Robin Jackson,4
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,50307584,Tyler Watkins,4
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,145057514,Tyler Watkins,4
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,5061428,Tyler Watkins,4
1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,2013933,Tyler Watkins,4
79af09a2-54e8-4f97-8edf-9fba208ab744,2085689125,Peter Anderson,3
79af09a2-54e8-4f97-8edf-9fba208ab744,153302678,Peter Anderson,3
79af09a2-54e8-4f97-8edf-9fba208ab744,16033319,Peter Anderson,3
7fac555d-41ef-410c-9c84-ed584a9cff7f,2146243452,Jesse May,4
7fac555d-41ef-410c-9c84-ed584a9cff7f,1709392,Jesse May,4
7fac555d-41ef-410c-9c84-ed584a9cff7f,2111700,Jesse May,4
7fac555d-41ef-410c-9c84-ed584a9cff7f,47019723,Jesse May,4
62924b2a-8fb8-4b93-92c6-735516b49af0,145044578,Curtis Morris,4
62924b2a-8fb8-4b93-92c6-735516b49af0,144223091,Curtis Morris,4
62924b2a-8fb8-4b93-92c6-735516b49af0,2550579,Curtis Morris,4
62924b2a-8fb8-4b93-92c6-735516b49af0,5084447,Curtis Morris,4
c3875580-2cce-4a95-a094-fff60bb381b9,1741582,Joseph Lopez,5
c3875580-2cce-4a95-a094-fff60bb381b9,2108258178,Joseph Lopez,5
c3875580-2cce-4a95-a094-fff60bb381b9,5939425,Joseph Lopez,5
c3875580-2cce-4a95-a094-fff60bb381b9,2355783,Joseph Lopez,5
c3875580-2cce-4a95-a094-fff60bb381b9,39843891,Joseph Lopez,5
961301b0-6f5a-44a6-9216-54b673cded78,38455266,John Johnson,4
961301b0-6f5a-44a6-9216-54b673cded78,2974008,John Johnson,4
961301b0-6f5a-44a6-9216-54b673cded78,3141411,John Johnson,4
961301b0-6f5a-44a6-9216-54b673cded78,2035210,John Johnson,4
17bac89e-3dba-467a-b9d4-71e3baefb08b,2522842,James Stanley,3
17bac89e-3dba-467a-b9d4-71e3baefb08b,1491045741,James Stanley,3
17bac89e-3dba-467a-b9d4-71e3baefb08b,2054439865,James Stanley,3
c6840156-ee10-4d78-8832-7f8909811576,2902113,Joseph Berger,3
c6840156-ee10-4d78-8832-7f8909811576,2115773852,Joseph Berger,3
c6840156-ee10-4d78-8832-7f8909811576,2143567339,Joseph Berger,3
bb95bf2e-8383-4748-bf9d-d6906d091085,1398440330,Victoria Foster,4
bb95bf2e-8383-4748-bf9d-d6906d091085,2116415778,Victoria Foster,4
bb95bf2e-8383-4748-bf9d-d6906d091085,4097987,Victoria Foster,4
bb95bf2e-8383-4748-bf9d-d6906d091085,5315243,Victoria Foster,4
aa746a02-d187-42c2-bdf9-df6a5d4e648c,80091479,Denise Martin,4
aa746a02-d187-42c2-bdf9-df6a5d4e648c,-2147483648,Denise Martin,4
aa746a02-d187-42c2-bdf9-df6a5d4e648c,39855252,Denise Martin,4
aa746a02-d187-42c2-bdf9-df6a5d4e648c,2071710499,Denise Martin,4
27475f31-a1d2-401b-84ad-9b405c7609a8,8625236,Joshua White,3
27475f31-a1d2-401b-84ad-9b405c7609a8,2058163,Joshua White,3
27475f31-a1d2-401b-84ad-9b405c7609a8,83201140,Joshua White,3
961301b0-6f5a-44a6-9216-54b673cded78,144189527,Lynn Kim,4
961301b0-6f5a-44a6-9216-54b673cded78,47080317,Lynn Kim,4
961301b0-6f5a-44a6-9216-54b673cded78,1710994,Lynn Kim,4
961301b0-6f5a-44a6-9216-54b673cded78,3317624,Lynn Kim,4
961301b0-6f5a-44a6-9216-54b673cded78,80146493,Stephen Wilson,5
961301b0-6f5a-44a6-9216-54b673cded78,5328311,Stephen Wilson,5
961301b0-6f5a-44a6-9216-54b673cded78,-2147483648,Stephen Wilson,5
