start_id,end_id,corresponding_author
6391996,133bcd7488a3c07cb0f493a87564c30e5433768c,True
6307534,133bcd7488a3c07cb0f493a87564c30e5433768c,False
40950692,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4230536,133bcd7488a3c07cb0f493a87564c30e5433768c,False
5538503,133bcd7488a3c07cb0f493a87564c30e5433768c,False
1402012502,133bcd7488a3c07cb0f493a87564c30e5433768c,False
39168440,133bcd7488a3c07cb0f493a87564c30e5433768c,False
1777308,133bcd7488a3c07cb0f493a87564c30e5433768c,False
144893958,133bcd7488a3c07cb0f493a87564c30e5433768c,False
3088847,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2115297093,133bcd7488a3c07cb0f493a87564c30e5433768c,False
39497753,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2027458,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4347079,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4373110,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2107517217,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2923325,133bcd7488a3c07cb0f493a87564c30e5433768c,False
1401984320,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4011830,133bcd7488a3c07cb0f493a87564c30e5433768c,False
36248090,133bcd7488a3c07cb0f493a87564c30e5433768c,False
39269675,133bcd7488a3c07cb0f493a87564c30e5433768c,False
48958834,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2975900,133bcd7488a3c07cb0f493a87564c30e5433768c,False
144528092,133bcd7488a3c07cb0f493a87564c30e5433768c,False
5307931,133bcd7488a3c07cb0f493a87564c30e5433768c,False
32381467,133bcd7488a3c07cb0f493a87564c30e5433768c,False
31909725,133bcd7488a3c07cb0f493a87564c30e5433768c,False
144110054,133bcd7488a3c07cb0f493a87564c30e5433768c,False
6199292,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4324350,133bcd7488a3c07cb0f493a87564c30e5433768c,False
147069795,133bcd7488a3c07cb0f493a87564c30e5433768c,False
6533031,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2252110423,133bcd7488a3c07cb0f493a87564c30e5433768c,False
144359100,133bcd7488a3c07cb0f493a87564c30e5433768c,False
84717638,133bcd7488a3c07cb0f493a87564c30e5433768c,False
5409083,133bcd7488a3c07cb0f493a87564c30e5433768c,False
32326419,133bcd7488a3c07cb0f493a87564c30e5433768c,False
32750186,133bcd7488a3c07cb0f493a87564c30e5433768c,False
51357334,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2194791,133bcd7488a3c07cb0f493a87564c30e5433768c,False
2306305,133bcd7488a3c07cb0f493a87564c30e5433768c,False
1938854376,133bcd7488a3c07cb0f493a87564c30e5433768c,False
4376295,133bcd7488a3c07cb0f493a87564c30e5433768c,False
14215968,133bcd7488a3c07cb0f493a87564c30e5433768c,False
51396990,133bcd7488a3c07cb0f493a87564c30e5433768c,False
144664874,133bcd7488a3c07cb0f493a87564c30e5433768c,False
