START_ID,END_ID,conferenceChair,reviewPolicy
b55b50b1-aae7-47a7-b042-8aecc930073d,5910617.0,Monica Simmons,3
b55b50b1-aae7-47a7-b042-8aecc930073d,49991208.0,Monica Simmons,3
b55b50b1-aae7-47a7-b042-8aecc930073d,145836176.0,Monica Simmons,3
a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,2712446.0,Nicole Burgess,4
a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,144491689.0,Nicole Burgess,4
a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,2244114320.0,Nicole Burgess,4
a36dc29e-4ea1-4567-b0fe-1c06daf8bee8,1505828520.0,Nicole Burgess,4
b55b50b1-aae7-47a7-b042-8aecc930073d,13585445.0,Jeffrey Pierce,4
b55b50b1-aae7-47a7-b042-8aecc930073d,2150280858.0,Jeffrey Pierce,4
b55b50b1-aae7-47a7-b042-8aecc930073d,46584000.0,Jeffrey Pierce,4
b55b50b1-aae7-47a7-b042-8aecc930073d,1777660.0,Jeffrey Pierce,4
528ced1f-e949-4e1a-8fee-2ffbf0be551d,36248090.0,Monica Lynch,3
528ced1f-e949-4e1a-8fee-2ffbf0be551d,1729232.0,Monica Lynch,3
528ced1f-e949-4e1a-8fee-2ffbf0be551d,2253948968.0,Monica Lynch,3
b55b50b1-aae7-47a7-b042-8aecc930073d,3968465.0,James Jones,4
b55b50b1-aae7-47a7-b042-8aecc930073d,2286796666.0,James Jones,4
b55b50b1-aae7-47a7-b042-8aecc930073d,1944541.0,James Jones,4
b55b50b1-aae7-47a7-b042-8aecc930073d,1769599.0,James Jones,4
528ced1f-e949-4e1a-8fee-2ffbf0be551d,49959210.0,Mark Simmons,4
528ced1f-e949-4e1a-8fee-2ffbf0be551d,49576568.0,Mark Simmons,4
528ced1f-e949-4e1a-8fee-2ffbf0be551d,1797840.0,Mark Simmons,4
528ced1f-e949-4e1a-8fee-2ffbf0be551d,143728483.0,Mark Simmons,4
2c9ecac6-f875-4a9b-acc2-10bd9f6782df,2146553512.0,Samantha Williamson,3
2c9ecac6-f875-4a9b-acc2-10bd9f6782df,32960372.0,Samantha Williamson,3
2c9ecac6-f875-4a9b-acc2-10bd9f6782df,51219288.0,Samantha Williamson,3
c85dfc25-bcef-4719-9997-f41ad334d998,21821453.0,Juan Mccann,3
c85dfc25-bcef-4719-9997-f41ad334d998,2148457826.0,Juan Mccann,3
c85dfc25-bcef-4719-9997-f41ad334d998,3034434.0,Juan Mccann,3
4a8bbf74-8b02-49b1-ad58-836790bbc79f,2265547868.0,Samantha Woods,5
4a8bbf74-8b02-49b1-ad58-836790bbc79f,2075619.0,Samantha Woods,5
4a8bbf74-8b02-49b1-ad58-836790bbc79f,1398876428.0,Samantha Woods,5
4a8bbf74-8b02-49b1-ad58-836790bbc79f,38899048.0,Samantha Woods,5
4a8bbf74-8b02-49b1-ad58-836790bbc79f,144696683.0,Samantha Woods,5
1ec5a55c-414e-4f79-b7dc-48e1dba3618e,145600821.0,Jordan Rogers,3
1ec5a55c-414e-4f79-b7dc-48e1dba3618e,1682100.0,Jordan Rogers,3
1ec5a55c-414e-4f79-b7dc-48e1dba3618e,2150913810.0,Jordan Rogers,3
66c268f7-ba60-443f-919d-e2c297910401,3215011.0,Terri Rodriguez,4
66c268f7-ba60-443f-919d-e2c297910401,2149185786.0,Terri Rodriguez,4
66c268f7-ba60-443f-919d-e2c297910401,1793304.0,Terri Rodriguez,4
66c268f7-ba60-443f-919d-e2c297910401,46172352.0,Terri Rodriguez,4
e27c1a12-37ca-4b72-bb77-352a151f78e9,1800422.0,Mrs. Caroline Garner,5
e27c1a12-37ca-4b72-bb77-352a151f78e9,46699896.0,Mrs. Caroline Garner,5
e27c1a12-37ca-4b72-bb77-352a151f78e9,2437145.0,Mrs. Caroline Garner,5
e27c1a12-37ca-4b72-bb77-352a151f78e9,145396185.0,Mrs. Caroline Garner,5
e27c1a12-37ca-4b72-bb77-352a151f78e9,2966951.0,Mrs. Caroline Garner,5
74f47cf8-2839-4a56-959a-524dd0ed9e3e,1691615.0,Kyle Campbell,5
74f47cf8-2839-4a56-959a-524dd0ed9e3e,2066406946.0,Kyle Campbell,5
74f47cf8-2839-4a56-959a-524dd0ed9e3e,90443851.0,Kyle Campbell,5
74f47cf8-2839-4a56-959a-524dd0ed9e3e,1398190057.0,Kyle Campbell,5
74f47cf8-2839-4a56-959a-524dd0ed9e3e,2520493.0,Kyle Campbell,5
764e3630-ddac-4c21-af4b-9d32ffef082e,2058906182.0,Kenneth Shaffer,3
764e3630-ddac-4c21-af4b-9d32ffef082e,1587676605.0,Kenneth Shaffer,3
764e3630-ddac-4c21-af4b-9d32ffef082e,144061974.0,Kenneth Shaffer,3
764e3630-ddac-4c21-af4b-9d32ffef082e,2911330.0,Sara Carpenter,4
764e3630-ddac-4c21-af4b-9d32ffef082e,6199292.0,Sara Carpenter,4
764e3630-ddac-4c21-af4b-9d32ffef082e,145860112.0,Sara Carpenter,4
764e3630-ddac-4c21-af4b-9d32ffef082e,5409083.0,Sara Carpenter,4
bf4a4b0f-eb61-4109-82ca-5fdd5c2d357f,1732750.0,Eugene Rodriguez,3
bf4a4b0f-eb61-4109-82ca-5fdd5c2d357f,2150913812.0,Eugene Rodriguez,3
bf4a4b0f-eb61-4109-82ca-5fdd5c2d357f,145472146.0,Eugene Rodriguez,3
c9e16b3c-2fdf-4b4c-82bf-5cdf3d3435b7,51403558.0,Stacy Barber,4
c9e16b3c-2fdf-4b4c-82bf-5cdf3d3435b7,1702137.0,Stacy Barber,4
c9e16b3c-2fdf-4b4c-82bf-5cdf3d3435b7,1406850567.0,Stacy Barber,4
