paper_id,cited_paper_id
57dfc18815bba1c3737dbc2e5497fd1fc595edb5,59a15d402c58700a36530310940ebb55b61b5fa7
1d6a5d0299ed8458191e4e0407d4d513e6a7dd7e,59a15d402c58700a36530310940ebb55b61b5fa7
f2f51a5f1e2edface850ff423536091f5d344ab0,59a15d402c58700a36530310940ebb55b61b5fa7
54cc1f2e86d1913521b466cef19d72ed02b6c800,59a15d402c58700a36530310940ebb55b61b5fa7
02c3f4c16d85825727f0cfaa7eae91547a49fbf1,59a15d402c58700a36530310940ebb55b61b5fa7
2b7f9117eb6608a58be4c078ca3d69c0e5ccb875,59a15d402c58700a36530310940ebb55b61b5fa7
0669286d8d4ca8ec2fdf16b7813157c21eb690be,59a15d402c58700a36530310940ebb55b61b5fa7
fd1ce8caf8b2f79d93927d62878e44d3ca05a45f,59a15d402c58700a36530310940ebb55b61b5fa7
64e23f006fda19bbbbc324b1353851ebca95aa02,59a15d402c58700a36530310940ebb55b61b5fa7
d87ceda3042f781c341ac17109d1e94a717f5f60,59a15d402c58700a36530310940ebb55b61b5fa7
7d1a9c693af4f099c3c7b8e2a8c92c5525105dd2,59a15d402c58700a36530310940ebb55b61b5fa7
9f2b2111cd65cc33c0c440f4f8e548b58d8dd851,59a15d402c58700a36530310940ebb55b61b5fa7
cd461d873b39f434a5171622166eb719f1d6e5d1,59a15d402c58700a36530310940ebb55b61b5fa7
e24b8a9531573d284647239affc6c855505b0de4,59a15d402c58700a36530310940ebb55b61b5fa7
12dcaf154a8a72769646f9299d5c466667e1a367,59a15d402c58700a36530310940ebb55b61b5fa7
9d6df0c771cd88153705f7822e5b70765bd75321,59a15d402c58700a36530310940ebb55b61b5fa7
d88d39dd9c910105e7503aa43698c806d42d5198,59a15d402c58700a36530310940ebb55b61b5fa7
863b9432378270b1ba79f7f0532970cd1a214740,59a15d402c58700a36530310940ebb55b61b5fa7
f56425ec56586dcfd2694ab83643e9e76f314e91,59a15d402c58700a36530310940ebb55b61b5fa7
e3f2391513693647e0ea87bfa86cd89e468f51d0,59a15d402c58700a36530310940ebb55b61b5fa7
e564e3656395782d0ab9f801bfbe9f9f1a5d34a7,59a15d402c58700a36530310940ebb55b61b5fa7
fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5,59a15d402c58700a36530310940ebb55b61b5fa7
f58b61d70caca32c265c39f539c81730b842a3df,59a15d402c58700a36530310940ebb55b61b5fa7
b55e490637babd50dab3cdaaa3a60a2be6eb1cbb,59a15d402c58700a36530310940ebb55b61b5fa7
fd9aef292d9f8e092f4627bbc4fc3377b55ab6b5,59a15d402c58700a36530310940ebb55b61b5fa7
05bbc3079659d6990aa90d24564c4656202755c6,59a15d402c58700a36530310940ebb55b61b5fa7
96fce12309b0b3a9a4d3f7200f16ff704bf38284,59a15d402c58700a36530310940ebb55b61b5fa7
d873ca587904ee6c1823a78995f77cee849e4c9f,59a15d402c58700a36530310940ebb55b61b5fa7
64f16d43358b08cf9522dac2d0bc2683f8d4a1ab,59a15d402c58700a36530310940ebb55b61b5fa7
b85ac20631159ca3e370afa9c1f81a4618242b4f,59a15d402c58700a36530310940ebb55b61b5fa7
a368b002477d8a57dff40fd41bf79c4d9041fe64,59a15d402c58700a36530310940ebb55b61b5fa7
46f74231b9afeb0c290d6d550043c55045284e5f,59a15d402c58700a36530310940ebb55b61b5fa7
2d34c2d4ab26d5b9f901dd9c57f9acf0dad079c6,59a15d402c58700a36530310940ebb55b61b5fa7
b2324651155468c9b6bef8a2e006272126d17608,59a15d402c58700a36530310940ebb55b61b5fa7
68dd4b89ce1407372a29d05ca9e4e1a2e0513617,59a15d402c58700a36530310940ebb55b61b5fa7
c292e473b3825eeb9db03c70b2e1c033aea190d5,59a15d402c58700a36530310940ebb55b61b5fa7
f42c69dbd792155fee6f4d2c525971f8d43f138b,59a15d402c58700a36530310940ebb55b61b5fa7
b9518627db25f05930e931f56497602363a75491,59a15d402c58700a36530310940ebb55b61b5fa7
f156ecbbb9243522275490d698c6825f4d2e01af,59a15d402c58700a36530310940ebb55b61b5fa7
46f1c45c62b7dbf77af405f5ddcf137b5e1ddde9,59a15d402c58700a36530310940ebb55b61b5fa7
55d5dcd9f042ef5ea40b6d0f7eff75df254b99d6,59a15d402c58700a36530310940ebb55b61b5fa7
54cc1f2e86d1913521b466cef19d72ed02b6c800,59a15d402c58700a36530310940ebb55b61b5fa7
0d6ef817813d04a3b3ec6c3ce008e104fb3e587a,59a15d402c58700a36530310940ebb55b61b5fa7
5c8b7127ad0b5257f81ce1aa70b89faa97bbc211,59a15d402c58700a36530310940ebb55b61b5fa7
eb960b5d56ed1368991eaa4f40cb7afee66edb1f,59a15d402c58700a36530310940ebb55b61b5fa7
cb56121bc38e0f4b44bcb5296a12038626152e96,59a15d402c58700a36530310940ebb55b61b5fa7
44321686d59d889af1760357940f04fbb6629597,59a15d402c58700a36530310940ebb55b61b5fa7
62a9d4f1763c5071cb2476c100614ba9741f036b,59a15d402c58700a36530310940ebb55b61b5fa7
12bbe911851d4831f2dc533ad7fe31486586a384,59a15d402c58700a36530310940ebb55b61b5fa7
0accf351494c1586fc9694100ec3d99444f1b4e7,07a34b86a4394d532dcaa6db38701297893bcb4e
b134d892f4e76081f5fa36b0b7c2e7118be53907,07a34b86a4394d532dcaa6db38701297893bcb4e
d87ceda3042f781c341ac17109d1e94a717f5f60,07a34b86a4394d532dcaa6db38701297893bcb4e
4bd970a37c59c97804ff93cbb2c108e081de3a37,07a34b86a4394d532dcaa6db38701297893bcb4e
8035e5002b7b0898ca7fa8263d09fe4454c6e4fd,07a34b86a4394d532dcaa6db38701297893bcb4e
218062f45c15f39bc8f4fb2c930ddf20b5809b11,07a34b86a4394d532dcaa6db38701297893bcb4e
fa5853fdef7d2f6bb68203d187ddacbbddc63a8b,07a34b86a4394d532dcaa6db38701297893bcb4e
62ccd99a65bfc7c735ae1f33b75b107665de95df,07a34b86a4394d532dcaa6db38701297893bcb4e
c6b3ca4f939e36a9679a70e14ce8b1bbbc5618f3,07a34b86a4394d532dcaa6db38701297893bcb4e
c5c4142a01981787a71bf6ebcb791520c458ab5d,07a34b86a4394d532dcaa6db38701297893bcb4e
f9b0b10713044c146caa84704b66804aa1e82d5e,07a34b86a4394d532dcaa6db38701297893bcb4e
0e23ff1f915b6af32bf1a1107ee7e15ebe10efe8,07a34b86a4394d532dcaa6db38701297893bcb4e
0accf351494c1586fc9694100ec3d99444f1b4e7,07a34b86a4394d532dcaa6db38701297893bcb4e
e07e835944576cba7218abf6fb8b3c02e23b6942,07a34b86a4394d532dcaa6db38701297893bcb4e
a6cfe02d90260640a151a2cd172b2bf3b000b738,07a34b86a4394d532dcaa6db38701297893bcb4e
02c3f4c16d85825727f0cfaa7eae91547a49fbf1,07a34b86a4394d532dcaa6db38701297893bcb4e
dc52d1ede1b90bf9d296bc5b34c9310b7eaa99a2,07a34b86a4394d532dcaa6db38701297893bcb4e
41abf43dc718e271299457bce65bccfe3feeb9d6,07a34b86a4394d532dcaa6db38701297893bcb4e
7b1d8dfb9e6260685d9fbb8c41bfc0a35710fe41,07a34b86a4394d532dcaa6db38701297893bcb4e
